datetime,kasa1_W,kasa2_W,kasa3_W,kasa4_W
2025-06-19 20:16:18.407597,14.774,0.843,0.825,0.823
2025-06-19 20:16:41.128771,13.951,0.825,0.818,0.833
2025-06-19 20:23:52.899223,14.787,0.833,0.801,0.848
2025-06-19 20:24:25.120250,13.862,0.841,0.808,0.828
2025-06-19 20:26:22.494109,13.987,0.824,0.807,0.846
2025-06-19 20:27:30.837752,14.463,0.803,0.805,0.87
2025-06-19 20:28:36.629677,14.156,1.048,1.101,0.923
2025-06-19 20:33:45.278737,15.191,0.86,0.812,0.825
2025-06-19 20:34:14.634838,14.379,0.86,0.78,0.792
2025-06-19 20:41:12.257377,13.945,0.827,0.818,0.833
2025-06-19 20:42:03.497975,14.465,0.826,0.815,0.836
2025-06-19 20:43:09.467054,14.879,0.801,0.807,0.84
2025-06-19 20:46:22.819670,14.189,0.913,0.849,0.837
2025-06-19 20:47:50.537614,14.139,0.791,0.818,0.829
2025-06-19 20:54:12.338780,13.921,0.86,0.777,0.839
2025-06-19 20:54:53,14.34,0.798,0.843,0.843
2025-06-19 20:56:45,14.076,0.881,0.803,0.815
2025-06-19 20:57:52,14.028,0.772,0.824,0.853
2025-06-19 21:01:32,14.128,0.839,0.833,0.878
2025-06-19 21:03:32,14.286,0.986,0.964,0.887
2025-06-19 21:07:05,14.893,0.939,0.797,0.848
2025-06-19 21:09:58,14.122,0.83,0.842,0.841
2025-06-19 21:13:10,15.176,0.841,0.833,0.827
2025-06-19 21:18:23,14.203,0.839,0.774,0.809
2025-06-19 21:23:36,15.972,0.951,0.96,0.983
2025-06-19 21:28:50,14.862,0.813,0.78,0.803
